"Supplementary Table 2. Relative abundance of Bacteria at the genus level of stool samples from patients in the control group and from the indeterminate, cardiac and megacolon clinical forms of Chagas' disease.",,,,,,,,
Phylum,Genus,Control*,Indeterminate*,Cardiac*,Megacolon*,FDR_P,p-value,P-value Bonferroni correction
Bacteroidetes,Bacteroides,25.96%,14.30%,16.63%,19.04%,0.567,0.086,1
Bacteroidetes,Prevotella,12.46%,13.86%,20.15%,15.58%,0.803,0.667,1
Firmicutes,Faecalibacterium,12.02%,11.14%,13.38%,8.56%,0.803,0.705,1
Firmicutes,Other,9.21%,11.15%,12.48%,10.13%,0.716,0.404,1
Firmicutes,Other,5.45%,7.11%,3.91%,9.68%,0.567,0.092,1
Firmicutes,Other,5.12%,6.83%,5.01%,3.83%,0.567,0.125,1
Firmicutes,Blautia,4.92%,4.53%,4.18%,4.19%,0.766,0.562,1
Proteobacteria,Sutterella,2.26%,1.54%,1.51%,1.20%,0.565,0.073,1
Firmicutes,Coprococcus,1.96%,1.91%,1.48%,1.68%,0.649,0.286,1
Firmicutes,Roseburia,1.37%,1.62%,1.63%,0.88%,0.565,0.078,1
Proteobacteria,Other,1.28%,0.55%,0.92%,2.38%,0.766,0.560,1
Bacteroidetes,Odoribacter,0.97%,0.77%,0.67%,0.99%,0.594,0.193,1
Bacteroidetes,Parabacteroides,0.94%,0.74%,0.75%,1.29%,0.567,0.127,1
Firmicutes,Ruminococcus,0.94%,1.15%,1.03%,1.22%,0.768,0.569,1
Bacteroidetes,Prevotella,0.88%,0.45%,0.78%,1.04%,0.589,0.150,1
Firmicutes,[Eubacterium],0.88%,1.59%,0.78%,0.49%,0.567,0.112,1
Bacteroidetes,Other,0.78%,0.78%,0.37%,0.80%,0.446,0.048,1
Proteobacteria,Succinivibrio,0.77%,3.32%,2.26%,0.01%,0.590,0.174,1
Firmicutes,Dorea,0.73%,0.69%,0.65%,0.49%,0.803,0.670,1
Tenericutes,Other,0.73%,1.54%,0.99%,2.54%,0.716,0.391,1
Firmicutes,Lachnospira,0.71%,0.82%,0.86%,0.72%,0.803,0.667,1
Firmicutes,Streptococcus,0.66%,0.76%,0.73%,0.24%,0.726,0.477,1
Firmicutes,Other,0.59%,1.15%,0.55%,0.42%,0.726,0.434,1
Firmicutes,Clostridium,0.53%,0.42%,0.33%,0.49%,0.822,0.746,1
Bacteroidetes,Butyricimonas,0.52%,0.41%,0.32%,0.66%,0.497,0.056,1
Actinobacteria,Bifidobacterium,0.52%,1.04%,0.55%,0.51%,0.567,0.113,1
Firmicutes,Dialister,0.50%,0.53%,1.02%,0.32%,0.357,0.023,1
Firmicutes,Ruminococcus,0.49%,0.52%,0.42%,0.42%,0.707,0.375,1
Fusobacteria,Fusobacterium,0.45%,1.55%,0.52%,0.03%,0.649,0.286,1
Proteobacteria,Other,0.36%,0.12%,0.02%,0.11%,0.240,0.010,1
Firmicutes,Oscillospira,0.33%,0.29%,0.27%,0.37%,0.656,0.319,1
Firmicutes,Other,0.32%,0.65%,0.46%,0.71%,0.567,0.136,1
Firmicutes,Catenibacterium,0.32%,0.39%,0.26%,0.16%,0.803,0.696,1
Firmicutes,Lactobacillus,0.32%,0.41%,0.11%,0.10%,0.726,0.441,1
Bacteroidetes,Other,0.29%,0.36%,0.51%,0.65%,0.894,0.839,1
Bacteroidetes,Other,0.27%,0.30%,0.17%,0.50%,0.590,0.173,1
Firmicutes,Other,0.26%,0.35%,0.23%,0.22%,0.987,0.977,1
Proteobacteria,Desulfovibrio,0.25%,0.28%,0.16%,0.34%,0.766,0.548,1
Bacteroidetes,Paraprevotella,0.25%,0.21%,0.19%,0.22%,0.766,0.563,1
Lentisphaerae,Other,0.19%,0.42%,0.13%,0.60%,0.649,0.280,1
Firmicutes,Other,0.19%,0.34%,0.23%,3.25%,0.567,0.124,1
Firmicutes,Lachnobacterium,0.18%,0.48%,0.28%,0.08%,0.594,0.227,1
Proteobacteria,Other,0.16%,0.01%,0.00%,0.00%,0.649,0.280,1
Firmicutes,Anaerostipes,0.16%,0.03%,0.07%,0.04%,0.757,0.525,1
Firmicutes,Other,0.15%,0.18%,0.16%,0.01%,0.768,0.584,1
Proteobacteria,Bilophila,0.11%,0.07%,0.07%,0.11%,0.177,0.006,1
Lentisphaerae,Victivallis,0.10%,0.05%,0.08%,0.06%,0.920,0.882,1
Bacteroidetes,Other,0.10%,0.38%,0.13%,0.71%,0.822,0.747,1
Firmicutes,Phascolarctobacterium,0.09%,0.09%,0.05%,0.06%,0.594,0.196,1
Firmicutes,RFN20,0.08%,0.10%,0.05%,0.38%,0.594,0.222,1
Proteobacteria,Haemophilus,0.07%,0.13%,0.14%,0.17%,0.803,0.687,1
Actinobacteria,Collinsella,0.06%,0.06%,0.05%,0.05%,0.689,0.355,1
Firmicutes,Mitsuokella,0.06%,0.15%,0.10%,0.00%,0.590,0.169,1
Firmicutes,Other,0.05%,0.06%,0.04%,0.07%,0.614,0.243,1
Verrucomicrobia,Akkermansia,0.05%,0.03%,0.01%,0.06%,0.177,0.005,0.949
Bacteroidetes,Other,0.05%,0.09%,0.09%,0.05%,0.726,0.478,1
Firmicutes,Turicibacter,0.04%,0.05%,0.08%,0.01%,0.649,0.291,1
Cyanobacteria,Other,0.04%,0.13%,0.13%,0.16%,0.903,0.857,1
Tenericutes,Other,0.04%,0.14%,0.33%,0.06%,0.768,0.614,1
Actinobacteria,Other,0.04%,0.04%,0.03%,0.06%,0.590,0.187,1
Bacteroidetes,CF231,0.03%,0.04%,0.06%,0.24%,0.768,0.600,1
Firmicutes,Lactococcus,0.03%,0.04%,0.03%,0.06%,0.716,0.403,1
Bacteroidetes,Alistipes,0.02%,0.04%,0.02%,0.07%,0.357,0.023,1
Firmicutes,Holdemania,0.02%,0.01%,0.02%,0.01%,0.594,0.216,1
Elusimicrobia,Other,0.02%,0.10%,0.01%,0.01%,0.716,0.386,1
Firmicutes,Other,0.02%,0.02%,0.02%,0.02%,0.720,0.421,1
Firmicutes,Acidaminococcus,0.02%,0.02%,0.01%,0.01%,0.567,0.124,1
Tenericutes,Other,0.01%,0.01%,0.00%,0.00%,0.565,0.070,1
Firmicutes,Enterococcus,0.01%,0.13%,0.01%,0.06%,0.716,0.400,1
Firmicutes,Peptococcus,0.01%,0.04%,0.04%,0.00%,0.567,0.087,1
Verrucomicrobia,Other,0.01%,0.02%,0.01%,0.08%,0.382,0.036,1
Firmicutes,Leuconostoc,0.01%,0.01%,0.02%,0.01%,0.903,0.859,1
